S3: N=20, L=20, pop=60
S8: N=20, L=20, pop=60
S10: N=20, L=20, pop=60
S15: N=20, L=20, pop=60
S23: N=20, L=20, pop=60
S31: N=20, L=20, pop=60
S32: N=20, L=20, pop=60
S39: N=20, L=20, pop=60
S41: N=20, L=20, pop=60
S47: N=20, L=20, pop=60
S52: N=20, L=20, pop=60
S58: N=20, L=20, pop=60
S61: N=20, L=20, pop=60
S63: N=20, L=20, pop=60
S72: N=20, L=20, pop=60
S76: N=20, L=20, pop=60
S3: N=18, L=18, pop=54
S8: N=16, L=19, pop=54
S10: N=28, L=29, pop=86
S15: N=18, L=25, pop=68
S23: N=26, L=23, pop=72
S31: N=21, L=27, pop=75
S32: N=30, L=17, pop=64
S39: N=23, L=27, pop=77
S41: N=20, L=16, pop=52
S47: N=26, L=30, pop=86
S52: N=18, L=24, pop=66
S58: N=24, L=21, pop=66
S61: N=25, L=20, pop=65
S63: N=22, L=27, pop=76
S72: N=20, L=25, pop=70
S76: N=16, L=30, pop=76
S182: N=20, L=20, pop=60
S188: N=20, L=20, pop=60
S189: N=20, L=20, pop=60
S192: N=20, L=20, pop=60
S202: N=20, L=20, pop=60
S210: N=20, L=20, pop=60
S211: N=20, L=20, pop=60
S213: N=20, L=20, pop=60
S219: N=20, L=20, pop=60
S224: N=20, L=20, pop=60
S225: N=20, L=20, pop=60
S3: N=19, L=21, pop=61
S8: N=11, L=15, pop=41
S10: N=32, L=35, pop=102
S15: N=24, L=29, pop=82
S23: N=30, L=25, pop=80
S31: N=23, L=29, pop=81
S32: N=28, L=12, pop=52
S39: N=29, L=37, pop=103
S41: N=15, L=18, pop=51
S47: N=29, L=32, pop=93
S52: N=25, L=30, pop=85
S58: N=22, L=28, pop=78
S61: N=26, L=30, pop=86
S63: N=22, L=37, pop=96
S72: N=16, L=30, pop=76
S76: N=25, L=31, pop=87
S182: N=21, L=19, pop=59
S188: N=15, L=18, pop=51
S189: N=20, L=22, pop=64
S192: N=24, L=27, pop=78
S202: N=26, L=22, pop=70
S210: N=15, L=19, pop=53
S211: N=29, L=20, pop=69
S213: N=29, L=24, pop=77
S219: N=20, L=23, pop=66
S224: N=23, L=16, pop=55
S225: N=19, L=17, pop=53
S356: N=20, L=20, pop=60
S361: N=20, L=20, pop=60
S370: N=20, L=20, pop=60
S377: N=20, L=20, pop=60
S381: N=20, L=20, pop=60
S384: N=20, L=20, pop=60
S392: N=20, L=20, pop=60
S398: N=20, L=20, pop=60
S401: N=20, L=20, pop=60
S411: N=20, L=20, pop=60
S414: N=20, L=20, pop=60
S418: N=20, L=20, pop=60
S419: N=20, L=20, pop=60
S427: N=20, L=20, pop=60
S434: N=20, L=20, pop=60
S438: N=20, L=20, pop=60
S3: N=29, L=20, pop=69
S8: N=16, L=11, pop=38
S10: N=39, L=32, pop=103
S15: N=26, L=25, pop=76
S23: N=29, L=20, pop=69
S31: N=20, L=24, pop=68
S32: N=29, L=10, pop=49
S39: N=39, L=36, pop=111
S41: N=23, L=19, pop=61
S47: N=24, L=31, pop=86
S52: N=28, L=40, pop=108
S58: N=29, L=31, pop=91
S61: N=26, L=25, pop=76
S63: N=29, L=37, pop=103
S72: N=15, L=25, pop=65
S76: N=28, L=37, pop=102
S182: N=29, L=28, pop=85
S188: N=10, L=22, pop=54
S189: N=16, L=18, pop=52
S192: N=25, L=31, pop=87
S202: N=23, L=23, pop=69
S210: N=21, L=17, pop=55
S211: N=27, L=17, pop=61
S213: N=29, L=19, pop=67
S219: N=27, L=29, pop=85
S224: N=23, L=21, pop=65
S225: N=22, L=26, pop=74
S356: N=28, L=26, pop=80
S361: N=20, L=15, pop=50
S370: N=18, L=25, pop=68
S377: N=27, L=16, pop=59
S381: N=30, L=15, pop=60
S384: N=17, L=22, pop=61
S392: N=17, L=27, pop=71
S398: N=24, L=19, pop=62
S401: N=24, L=16, pop=56
S411: N=17, L=26, pop=69
S414: N=15, L=23, pop=61
S418: N=19, L=23, pop=65
S419: N=25, L=28, pop=81
S427: N=25, L=17, pop=59
S434: N=23, L=18, pop=59
S438: N=21, L=20, pop=61
S659: N=20, L=20, pop=60
S668: N=20, L=20, pop=60
S676: N=20, L=20, pop=60
S3: N=39, L=25, pop=89
S8: N=18, L=17, pop=52
S10: N=43, L=37, pop=117
S15: N=22, L=25, pop=72
S23: N=28, L=25, pop=78
S31: N=28, L=26, pop=80
S32: N=30, L=5, pop=40
S39: N=45, L=37, pop=119
S41: N=28, L=26, pop=80
S47: N=26, L=37, pop=100
S52: N=26, L=45, pop=116
S58: N=32, L=32, pop=96
S61: N=22, L=35, pop=92
S63: N=25, L=33, pop=91
S72: N=17, L=31, pop=79
S76: N=36, L=42, pop=120
S182: N=35, L=35, pop=105
S188: N=11, L=32, pop=75
S189: N=17, L=13, pop=43
S192: N=31, L=34, pop=99
S202: N=24, L=21, pop=66
S210: N=30, L=20, pop=70
S211: N=22, L=19, pop=60
S213: N=27, L=14, pop=55
S219: N=35, L=34, pop=103
S224: N=19, L=18, pop=55
S225: N=23, L=23, pop=69
S356: N=26, L=22, pop=70
S361: N=24, L=11, pop=46
S370: N=21, L=22, pop=65
S377: N=25, L=14, pop=53
S381: N=33, L=24, pop=81
S384: N=15, L=17, pop=49
S392: N=18, L=37, pop=92
S398: N=21, L=18, pop=57
S401: N=28, L=13, pop=54
S411: N=19, L=30, pop=79
S414: N=24, L=24, pop=72
S418: N=21, L=33, pop=87
S419: N=27, L=38, pop=103
S427: N=24, L=20, pop=64
S434: N=26, L=22, pop=70
S438: N=22, L=17, pop=56
S659: N=27, L=22, pop=71
S668: N=20, L=19, pop=58
S676: N=23, L=29, pop=81
S949: N=20, L=20, pop=60
S951: N=20, L=20, pop=60
S954: N=20, L=20, pop=60
S955: N=20, L=20, pop=60
S959: N=20, L=20, pop=60
S968: N=20, L=20, pop=60
S977: N=20, L=20, pop=60
S979: N=20, L=20, pop=60
S981: N=20, L=20, pop=60
S982: N=20, L=20, pop=60
S992: N=20, L=20, pop=60
S998: N=20, L=20, pop=60
S1000: N=20, L=20, pop=60
S1008: N=20, L=20, pop=60
S1010: N=20, L=20, pop=60
S1012: N=20, L=20, pop=60
S1019: N=20, L=20, pop=60
S3: N=48, L=27, pop=102
S8: N=25, L=18, pop=61
S10: N=50, L=40, pop=130
S15: N=30, L=31, pop=92
S23: N=35, L=21, pop=77
S31: N=29, L=23, pop=75
S32: N=39, L=13, pop=65
S39: N=55, L=34, pop=123
S41: N=25, L=21, pop=67
S47: N=26, L=45, pop=116
S52: N=30, L=54, pop=138
S58: N=27, L=37, pop=101
S61: N=19, L=43, pop=105
S63: N=21, L=41, pop=103
S72: N=14, L=34, pop=82
S76: N=35, L=39, pop=113
S182: N=40, L=32, pop=104
S188: N=16, L=27, pop=70
S189: N=26, L=12, pop=50
S192: N=28, L=41, pop=110
S202: N=19, L=20, pop=59
S210: N=26, L=16, pop=58
S211: N=21, L=29, pop=79
S213: N=29, L=24, pop=77
S219: N=44, L=30, pop=104
S224: N=18, L=19, pop=56
S225: N=20, L=22, pop=64
S356: N=23, L=21, pop=65
S361: N=26, L=9, pop=44
S370: N=17, L=26, pop=69
S377: N=33, L=24, pop=81
S381: N=31, L=23, pop=77
S384: N=19, L=22, pop=63
S392: N=19, L=40, pop=99
S398: N=31, L=17, pop=65
S401: N=30, L=18, pop=66
S411: N=28, L=27, pop=82
S414: N=25, L=28, pop=81
S418: N=18, L=43, pop=104
S419: N=30, L=47, pop=124
S427: N=31, L=17, pop=65
S434: N=34, L=20, pop=74
S438: N=20, L=19, pop=58
S659: N=37, L=26, pop=89
S668: N=27, L=19, pop=65
S676: N=18, L=33, pop=84
S949: N=18, L=19, pop=56
S951: N=20, L=25, pop=70
S954: N=16, L=23, pop=62
S955: N=16, L=20, pop=56
S959: N=16, L=28, pop=72
S968: N=20, L=24, pop=68
S977: N=21, L=25, pop=71
S979: N=28, L=23, pop=74
S981: N=24, L=24, pop=72
S982: N=25, L=20, pop=65
S992: N=22, L=23, pop=68
S998: N=21, L=23, pop=67
S1000: N=24, L=25, pop=74
S1008: N=20, L=24, pop=68
S1010: N=18, L=23, pop=64
S1012: N=16, L=30, pop=76
S1019: N=27, L=18, pop=63
S1375: N=20, L=20, pop=60
S1385: N=20, L=20, pop=60
S1395: N=20, L=20, pop=60
S1401: N=20, L=20, pop=60
S1407: N=20, L=20, pop=60
S1410: N=20, L=20, pop=60
S1418: N=20, L=20, pop=60
S1428: N=20, L=20, pop=60
S1436: N=20, L=20, pop=60
S1437: N=20, L=20, pop=60
S3: N=55, L=25, pop=105
S8: N=29, L=25, pop=79
S10: N=53, L=35, pop=123
S15: N=34, L=31, pop=96
S23: N=30, L=18, pop=66
S31: N=29, L=24, pop=77
S32: N=44, L=15, pop=74
S39: N=57, L=30, pop=117
S41: N=26, L=31, pop=88
S47: N=31, L=40, pop=111
S52: N=38, L=58, pop=154
S58: N=31, L=32, pop=95
S61: N=22, L=49, pop=120
S63: N=31, L=39, pop=109
S72: N=18, L=42, pop=102
S76: N=45, L=43, pop=131
S182: N=40, L=29, pop=98
S188: N=23, L=23, pop=69
S189: N=36, L=18, pop=72
